mmdd,new_file,new_title,old_file,old_title,match
0101,0101.json,Two strangers Meet,0101.json,Two strangers Meet,identical
0102,0102.json,Information technology — Storage,01-02-INFO-information-technology-storage.json,Information technology — Storage,identical
0103,0103.json,Film noir — Rural/outback noir,01-03-NOIR-film-noir-ruraloutback-noir.json,Film noir — Rural/outback noir,identical
0104,0104.json,List of conspiracy theories — New England Patriots,01-04-CONSPIRACY-list-of-conspiracy-theories-new-england-patriots.json,List of conspiracy theories — New England Patriots,identical
0105,0105.json,Knowledge base — Types of Knowledge Base Systems,01-05-GK--knowledge-base-types-of-knowledge-base-systems.json,Knowledge base — Types of Knowledge Base Systems,identical
0106,0106.json,Does ‘laziness’ start in the brain? — The Guardian,01-06-HUMAN-BRAIN-does-laziness-start-in-the-brain-the-guardian.json,Does ‘laziness’ start in the brain? — The Guardian,identical
0107,0107.json,Finding humor in photography,,,
0108,0108.json,It is not a star,,,
0109,0109.json,Documentary film — Romanticism,,,
0110,0110.json,Cold Storage review – mutant-mildew plague horror comedy stuffs fun into the fungi — The Guardian,,,
0111,0111.json,Does pollution poison the mind?,,,
0112,0112.json,How to Treat Alzheimer's,,,
0113,0113.json,"Abraham Lincoln, master inventor",,,
0114,0114.json,The Glass Jar by Sylvia Plath (1963),,,
0115,0115.json,A Romanian City ( Alina Stefanescu),0115.json,A Romanian City ( Alina Stefanescu),identical
0116,0116.json,Kenyan Gourmet,01-16_Kenyan_Gourmet.json,Kenyan Gourmet,identical
0117,0117.json,History of Geography,01-17_History_of_Geography.json,History of Geography,identical
0118,0118.json,How Giant White Houses Took Over America,01-18-COLORS-how-giant-white-houses-took-over-america.json,How Giant White Houses Took Over America,identical
0119,0119.json,Why negotiating gives you anxiety,01-19-NEGOTIATION-why-negotiating-gives-you-anxiety.json,Why negotiating gives you anxiety,identical
0120,0120.json,Skip single-use gadgets,01-20-COOL-GADGETS-skip-single-use-gadgets.json,Skip single-use gadgets,identical
0121,0121.json,Politico has figured out,01-21-HOBBIES-politico-has-figured-out.json,Politico has figured out,identical
0122,0122.json,My dirty secret writing life,01-22-WRITING-my-dirty-secret-writing-life.json,My dirty secret writing life,identical
0123,0123.json,Ursula K. Le Guin on myths,01-23-FOLKLORE-ursula-k-le-guin-on-myths.json,Ursula K. Le Guin on myths,identical
0124,0124.json,Chernobyl,0124.json,Chernobyl,identical
0125,0125.json,Welcome to Dog World - part 2,0125.json,Welcome to Dog World - part 2,identical
0126,0126.json,Robot — Etymology,01-26-ROBOTICS-robot-etymology.json,Robot — Etymology,identical
0127,0127.json,The Border Wall is Rising Up (Francisco Cantu),0127.json,The Border Wall is Rising Up (Francisco Cantu),identical
